4982	13C16J	Prélèvements d'ovocytes, en ambulatoire	NULL	NULL	1204.94	NULL	NULL	NULL	2009	20090301	20100228	
5474	14Z07Z	Faux travail	NULL	NULL	478.62	NULL	NULL	NULL	2009	20090301	20100228	
6162	16M064	Affections de la rate, niveau 4	NULL	NULL	18402.36	NULL	NULL	NULL	2009	20090301	20100228	
6470	17K041	Autres irradiations, niveau 1	2	8	2664.42	NULL	1332.21	189.56	2009	20090301	20100228	(1<0)
6521	17M13T	Polyglobulies, très courte durée	NULL	NULL	810.57	NULL	NULL	NULL	2009	20090301	20100228	
7123	19M191	Troubles de l'humeur, niveau 1	2	9	1873.17	1395.74	NULL	154.47	2009	20090301	20100228	
9605	28Z04Z	Hémodialyse, en séances	NULL	NULL	349.12	NULL	NULL	NULL	2009	20090301	20100228	("unité d'hémodialyse en centre")
1228	04M252	Grippes, niveau 2	3	18	4432.72	2689.93	NULL	327.61	2009	20090301	20100228	
1204	04M17T	Epanchements pleuraux, très courte durée	NULL	NULL	642.39	NULL	NULL	NULL	2009	20090301	20100228	
306	01M282	Hydrocéphalies, niveau 2	5	27	4787.7	3101.19	NULL	146.79	2009	20090301	20100228	
1177	04M123	Pneumothorax, niveau 3	5	29	4420.28	1248.91	NULL	95.24	2009	20090301	20100228	
1771	05M12T	Troubles vasculaires périphériques, très courte durée	NULL	NULL	737.11	NULL	NULL	NULL	2009	20090301	20100228	
2137	06M044	Hémorragies digestives, niveau 4	8	47	7888.77	1903.84	NULL	310.17	2009	20090301	20100228	
2324	07C072	Interventions diagnostiques sur le système hépato-biliaire et pancréatique pour des affections non malignes, niveau 2	6	31	7596.95	4602.33	NULL	232.7	2009	20090301	20100228	
2795	08C281	Interventions maxillofaciales, niveau 1	2	8	3095.52	NULL	1547.76	311.08	2009	20090301	20100228	
642	03C09J	Rhinoplasties, en ambulatoire	NULL	NULL	1198.43	NULL	NULL	NULL	2009	20090301	20100228	
663	03C14J	Drains transtympaniques, âge inférieur à 18 ans, en ambulatoire	NULL	NULL	702.08	NULL	NULL	NULL	2009	20090301	20100228	
822	03M021	Traumatismes et déformations du nez, niveau 1	NULL	NULL	538.5	NULL	NULL	NULL	2009	20090301	20100228	
3124	08M28T	Autres rachialgies, très courte durée	NULL	NULL	620.9	NULL	NULL	NULL	2009	20090301	20100228	
2905	08C531	Interventions sur le genou pour traumatismes, niveau 1	3	15	3771.36	NULL	1257.12	124.26	2009	20090301	20100228	
3073	08M151	Tendinites, myosites et bursites, niveau 1	NULL	NULL	878.98	NULL	NULL	NULL	2009	20090301	20100228	
3319	09C031	Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 1	2	7	2726.05	1554.62	NULL	198.23	2009	20090301	20100228	
3320	09C032	Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 2	6	32	7850.94	5124.89	NULL	193.26	2009	20090301	20100228	
3321	09C033	Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 3	11	66	14421.78	6570.84	NULL	407.34	2009	20090301	20100228	
3322	09C034	Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 4	13	77	27640.5	13218.72	NULL	669.33	2009	20090301	20100228	
3323	09C03J	Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, en ambulatoire	NULL	NULL	1171.43	NULL	NULL	NULL	2009	20090301	20100228	
3324	09C041	Mastectomies totales pour tumeur maligne, niveau 1	3	14	3845.33	NULL	1281.78	127.78	2009	20090301	20100228	
3326	09C043	Mastectomies totales pour tumeur maligne, niveau 3	6	32	6145.4	1498.44	NULL	256.03	2009	20090301	20100228	
3327	09C044	Mastectomies totales pour tumeur maligne, niveau 4	9	54	11778.16	5632.76	NULL	405.41	2009	20090301	20100228	
3328	09C051	Mastectomies subtotales pour tumeur maligne, niveau 1	2	8	2863.88	1628.09	NULL	182.62	2009	20090301	20100228	
3329	09C052	Mastectomies subtotales pour tumeur maligne, niveau 2	3	15	4142.24	1278.36	NULL	229.19	2009	20090301	20100228	
3330	09C053	Mastectomies subtotales pour tumeur maligne, niveau 3	5	27	6892.53	2750.29	NULL	478.38	2009	20090301	20100228	
3331	09C054	Mastectomies subtotales pour tumeur maligne, niveau 4	NULL	NULL	13210.08	NULL	NULL	NULL	2009	20090301	20100228	
3332	09C05J	Mastectomies subtotales pour tumeur maligne, en ambulatoire	NULL	NULL	1235.78	NULL	NULL	NULL	2009	20090301	20100228	
3333	09C061	Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, niveau 1	2	8	2476.81	1314.4	NULL	375.29	2009	20090301	20100228	
3325	09C042	Mastectomies totales pour tumeur maligne, niveau 2	4	19	4646.96	801.63	NULL	115.26	2009	20090301	20100228	
3334	09C062	Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, niveau 2	3	13	5097.16	2620.34	NULL	307.66	2009	20090301	20100228	
3335	09C063	Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, niveau 3	4	24	8481.47	3384.31	NULL	640.24	2009	20090301	20100228	
3336	09C064	Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, niveau 4	NULL	NULL	16255.42	NULL	NULL	NULL	2009	20090301	20100228	
3337	09C06T	Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, très courte durée	NULL	NULL	1162.41	NULL	NULL	NULL	2009	20090301	20100228	
3338	09C071	Biopsies et excisions locales pour des affections non malignes du sein, niveau 1	NULL	4	1311.66	NULL	NULL	231.28	2009	20090301	20100228	
3339	09C072	Biopsies et excisions locales pour des affections non malignes du sein, niveau 2	3	10	2976.75	1665.09	NULL	511.29	2009	20090301	20100228	
3340	09C073	Biopsies et excisions locales pour des affections non malignes du sein, niveau 3	NULL	NULL	4953.18	NULL	NULL	NULL	2009	20090301	20100228	
3341	09C074	Biopsies et excisions locales pour des affections non malignes du sein, niveau 4	NULL	NULL	9493.17	NULL	NULL	NULL	2009	20090301	20100228	
3342	09C07J	Biopsies et excisions locales pour des affections non malignes du sein, en ambulatoire	NULL	NULL	1311.66	NULL	NULL	NULL	2009	20090301	20100228	
3343	09C081	Interventions sur la région anale et périanale, niveau 1	NULL	4	1246.25	NULL	NULL	94.42	2009	20090301	20100228	
