610	03C09Z	Rhinoplasties	2	6	2253.01	\N	\N	597.55	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
1	01C01S	Interventions pour affections du système nerveux, sauf craniotomie, avec CMAS	2	95	14159.5	\N	\N	430.79	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
2	01C02Z	Craniotomies, âge inférieur à 18 ans	2	40	8879.86	\N	\N	587.44	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
3	01C03V	Craniotomies pour traumatisme, âge supérieur à 17 ans sans CMA	2	35	6384.33	\N	\N	464.01	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
4	01C03W	Craniotomies pour traumatisme, âge supérieur à 17 ans avec CMA	2	78	12647.4	\N	\N	430.54	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
5	01C04V	Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans sans CMA	1	35	9357.63	\N	\N	638.23	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
6	01C04W	Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans avec CMA	3	79	14644.6	\N	\N	506.61	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
7	01C05V	Interventions sur le rachis et la moelle pour des affections neurologiques sans CMA	2	25	5666.48	\N	\N	541.01	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
8	01C05W	Interventions sur le rachis et la moelle pour des affections neurologiques avec CMA	2	44	9915.42	\N	\N	588.96	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
9	01C06V	Interventions sur le système vasculaire précérébral sans CMA	2	19	4879.5	\N	\N	587.15	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
10	01C06W	Interventions sur le système vasculaire précérébral avec CMA	2	27	6246.1	\N	\N	564.04	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
11	01C07Z	Libérations du canal carpien	2	11	1564.25	\N	\N	476.52	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
12	01C08V	Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, âge inférieur à 70 ans sans CMA	2	18	3326.16	\N	\N	630.41	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
13	01C08W	Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, âge supérieur à 69 ans et/ou CMA	2	40	6477.7	\N	\N	491.3	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
150	01M01S	Affections du système nerveux, avec CMAS	2	57	6807.53	\N	\N	315.69	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
151	01M02Z	Convulsions, épilepsies et céphalées, âge inférieur à 18 ans	2	13	2016.55	\N	\N	464.46	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
152	01M03V	Convulsions, épilepsies et céphalées, âge de 18 à 69 ans sans CMA	2	18	1911.06	\N	\N	329.91	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
2723	08C16W	Interventions sur les tissus mous avec CMA	2	42	6055.72	\N	\N	399.66	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
153	01M03W	Convulsions, épilepsies et céphalées,  âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans	2	26	3207.32	\N	\N	297.82	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
154	01M04Z	Méningites virales	2	18	2256.65	\N	\N	363.15	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
155	01M05V	Infections du système nerveux à l'exception des méningites virales, âge inférieur à 70 ans sans CMA	1	27	4219.84	\N	\N	378.12	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
156	01M05W	Infections du système nerveux à l'exception des méningites virales, âge supérieur à 69 ans et/ou CMA	2	50	6818.44	\N	\N	340.44	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
157	01M06V	Tumeurs du système nerveux sans CMA	1	32	3994.3	\N	\N	325.96	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
158	01M06W	Tumeurs du système nerveux avec CMA	2	43	5739.23	\N	\N	328.65	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
159	01M07Z	Maladies dégénératives du système nerveux, âge supérieur à 80 ans	1	38	4137.39	\N	\N	269.73	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
160	01M08V	Maladies dégénératives du système nerveux, âge inférieur à 81 ans sans CMA	1	27	3070.3	\N	\N	294.27	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
161	01M08W	Maladies dégénératives du système nerveux, âge inférieur à 81 ans avec CMA	2	44	4941.34	\N	\N	283.39	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
162	01M09Z	Affections et lésions du rachis et de la moelle	2	35	3746.93	\N	\N	335.51	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
163	01M10V	Autres affections cérébrovasculaires sans CMA	1	30	4124.05	\N	\N	350.69	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
164	01M10W	Autres affections cérébrovasculaires avec CMA	2	44	5563.4	\N	\N	308.82	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
165	01M11V	Affections des nerfs crâniens et rachidiens, âge inférieur à 70 ans sans CMA	2	18	2473.7	\N	\N	332.16	2004	2004-01-01 00:00:00	2004-12-31 00:00:00
